name,time,tweets
Donald J. Trump,2016-08-09 12:02:25,"@LinHen23:  @foxandfriends Loved Trump's answers to voters questions this morning! Trump's economic plan will help #MAGA #NeverHillary"
Donald J. Trump,2016-08-09 12:01:33,"@sprts08: @realDonaldTrump @foxandfriends great interviewall solid points on our economy TRUMP2016"
Donald J. Trump,2016-08-09 11:59:25,I am running against the Washington insiders just like I did in the Republican Primaries These are the people that have made US a mess!
Donald J. Trump,2016-08-09 11:32:43,Will be interviewed on @foxandfriends now!
Donald J. Trump,2016-08-09 02:45:10,Being in Detroit today was wonderful Quick stop in Ohio to meet with some of our great supporters Just got back home!
Donald J. Trump,2016-08-09 01:00:23,RT @FieldofFight: We Can Do Better We Must Do Better We Will Do Better  By LTG (R) Keith Kellogg and LTG (R) Michael Flynn @GenFlynn http…
Donald J. Trump,2016-08-08 23:18:42,'As Senator Clinton promised 200000 jobs in Upstate New York   her efforts fell flat' https://tco/I2WqZb5N8P https://tco/i5S3mtJWpe
Donald J. Trump,2016-08-08 22:45:33,Many people are saying that the Iranians killed the scientist who helped the US because of Hillary Clinton's hacked emails
Donald J. Trump,2016-08-08 22:43:56,Thank you Newt!  https://tco/Acg0hMvrpr
Donald J. Trump,2016-08-08 22:27:02,Thank you Congressman Steven Palazzo! https://tco/R5Z4CGfjqJ https://tco/XGSIJJQiGJ
Donald J. Trump,2016-08-08 22:24:09,Thank you Senator David Perdue! https://tco/d0dCUZ20jf https://tco/LmfiGByFPb
Donald J. Trump,2016-08-08 22:20:31,Thank you @RepLouBarletta! https://tco/bre8u93vac https://tco/eKtSXUw51R
Donald J. Trump,2016-08-08 22:15:44,Thank you @NFIB  together we will #MakeAmericaGreatAgain!  https://tco/wQQIHQKsdK
Donald J. Trump,2016-08-08 22:12:21,Thank you!  https://tco/4p0hzpkVWF
Donald J. Trump,2016-08-08 22:06:25,Thank you Alex!  https://tco/c2uIa7mndP
Donald J. Trump,2016-08-08 20:14:57,RT @NFIB: @NFIB encouraged by @realDonaldTrump’s #taxplan says #smallbiz would benefit from lower tax rate: https://tco/JCQCvXj9WC
Donald J. Trump,2016-08-08 15:20:44,My economic policy speech will be carried live at 12:15 PM Enjoy!
Donald J. Trump,2016-08-08 13:28:20,Join me in Fayetteville North Carolina tomorrow evening at 6pm Tickets now available at: https://tco/Z80d4MYIg8
Donald J. Trump,2016-08-08 00:05:54,#ICYMI: "Will Media Apologize to Trump?" https://tco/ia7rKBmioA
Donald J. Trump,2016-08-07 23:09:08,Michael Morell the lightweight former Acting Director of CIA and a man who has made serious bad calls is a total Clinton flunky!
Donald J. Trump,2016-08-07 21:31:46,The media is going crazy They totally distort so many things on purpose Crimea nuclear "the baby" and so much more Very dishonest!
Donald J. Trump,2016-08-07 21:25:58,RT @DRUDGE_REPORT: CLINTON EMAIL LED TO EXECUTION IN IRAN? https://tco/4rY1faptL6
Donald J. Trump,2016-08-07 13:49:29,I see where Mayor Stephanie Rawlings Blake of Baltimore is pushing Crooked hard Look at the job she has done in Baltimore She is a joke!
Donald J. Trump,2016-08-07 02:19:37,Thank you Windham New Hampshire! #TrumpPence16 #MAGA https://tco/ZL4Q01Q49s
Donald J. Trump,2016-08-07 02:03:39,@Larry_Kudlow   'Donald Trump Is the middle class growth candidate' https://tco/YbqkhWNm0g
Donald J. Trump,2016-08-07 01:53:45,I am not just running against Crooked Hillary Clinton I am running against the very dishonest and totally biased media   but I will win!
Donald J. Trump,2016-08-06 20:04:08,#CrookedHillary is not fit to be our next president! #TrumpPence16  https://tco/I0zJO2sZKk
Donald J. Trump,2016-08-06 18:11:50,Heading to New Hampshire   will be talking about Hillary saying her brain SHORT CIRCUITED and other things!
Donald J. Trump,2016-08-06 14:48:14,Anybody whose mind "SHORT CIRCUITS" is not fit to be our president! Look up the word "BRAINWASHED"
Donald J. Trump,2016-08-06 14:24:43,Crooked Hillary said loudly and for the world to see that she "SHORT CIRCUITED" when answering a question on her e mails Very dangerous!
Donald J. Trump,2016-08-06 11:53:00,Hillary Clinton is being badly criticized for her poor performance in answering questions Let us all see what happens!
Donald J. Trump,2016-08-06 03:59:08,Good luck #TeamUSA #OpeningCeremony #Rio2016 https://tco/mS8qsQpJPh
Donald J. Trump,2016-08-06 02:57:11,'Trump is right about violent crime: It’s on the rise in major cities' https://tco/XbnZ5vktGk
Donald J. Trump,2016-08-06 02:44:55,Thank you Green Bay Wisconsin! Governor @Mike_Pence and I will be back soon #TrumpPence16 #MAGA https://tco/qsYbyrm3UR
Donald J. Trump,2016-08-05 23:53:53,DON'T LET HILLARY CLINTON DO IT AGAIN! #TrumpPence16 https://tco/1mGkPNZPKF
Donald J. Trump,2016-08-05 22:42:08,Thank you Des Moines Iowa! Governor @Mike_Pence and I appreciate your support! #MAGA #TrumpTrain https://tco/gr6tGqqmcm
Donald J. Trump,2016-08-05 20:03:29,#MakeAmericaSafeAgain https://tco/5yuLKyh8Q6
Donald J. Trump,2016-08-05 19:29:02,RT @DRUDGE_REPORT: FORMER HOSTAGE SAYS PLANE WAITED UNTIL MONEY ARRIVED https://tco/Uo0MS6w9OQ
Donald J. Trump,2016-08-05 19:28:58,RT @DRUDGE_REPORT: 'Win lose deal that benefits Iran and hurts United States' https://tco/zqpeNCouXc
Donald J. Trump,2016-08-05 13:08:35,Hillary Clinton has bad judgment and is unfit to serve as President https://tco/3EzG620fpT
Donald J. Trump,2016-08-05 10:39:27,The plane I saw on television was the hostage plane in Geneva Switzerland not the plane carrying $400 million in cash going to Iran!
Donald J. Trump,2016-08-05 02:19:22,President Obama refuses to answer question about Iran terror funding  I won't dodge questions as your President https://tco/jsAMGO3s4P
Donald J. Trump,2016-08-05 02:19:08,Obama's disastrous judgment gave us ISIS rise of Iran and the worst economic numbers since the Great Depression!
Donald J. Trump,2016-08-05 02:18:18,President Obama should ask the DNC about how they rigged the election against Bernie
Donald J. Trump,2016-08-05 02:16:20,See you tomorrow w/ Gov @Mike_Pence Iowa &amp; Wisconsin!  3pm  https://tco/3Hcnzj0Slx 7pm  https://tco/sEwLWkn1Sz https://tco/UODSMp0oTo
Donald J. Trump,2016-08-04 22:42:13,Thank you Portland Maine!  #MakeAmericaGreatAgain  https://tco/oVfF28rWL5 https://tco/RhblAXkNPw
Donald J. Trump,2016-08-04 19:23:41,Happy 226th Birthday to the United States Coast Guard Thank you @USCG! #CoastGuardDay https://tco/hr4O8Xgq2R
