name,time,tweets
Hillary Clinton,2016-08-09 15:20:06,Donald Trump's economic plan is a bad deal for working families—and a big tax cut for Donald Trump https://tco/D0oOe6bwza
Hillary Clinton,2016-08-09 14:23:38,Trump's trickle down economic plan: big giveaways for those at the top at the expense of everyone else https://tco/rXg4m7ulg4
Hillary Clinton,2016-08-09 02:22:47,Thank you to the more than 2 million people who have donated to this campaign Chip in now to join them: https://tco/r3sF3mwlFX
Hillary Clinton,2016-08-08 22:43:21,RT @nytimes: 50 GOP officials sign a letter declaring that Trump “would be the most reckless president in American history” https://tco/Qg…
Hillary Clinton,2016-08-08 22:37:46,RT @Quora: Presidential &amp; VP candidates @HillaryClinton &amp; @timkaine are now answering in their Session! https://tco/jVxzCWBXX3 https://tc…
Hillary Clinton,2016-08-08 21:32:14,RT @elizabethforma: Even @realDonaldTrump's childcare plan gives billionaires w/ a nanny a tax break while millions of low income household…
Hillary Clinton,2016-08-08 21:31:54,RT @elizabethforma: @realDonaldTrump's econ plan was written by rich corporate insider advisors to make the economy even greater for rich…
Hillary Clinton,2016-08-08 20:30:14,Last night swimmer @KatieLedecky won gold and broke her own world record in the 400m freestyle Congrats Katie! https://tco/db79swBbOr
Hillary Clinton,2016-08-08 19:56:04,Just imagine Donald Trump in the Oval Office facing a real crisis We can’t afford that kind of risk
Hillary Clinton,2016-08-08 19:54:31,Donald Trump is not only putting our national security at risk—he’s putting our economy at risk https://tco/HMiJtadxMF
Hillary Clinton,2016-08-08 19:50:37,We’re going to make sure the wealthy pay their fair share in taxes for a change: https://tco/p7J6Ab1Agq
Hillary Clinton,2016-08-08 19:49:35,Donald Trump's plan is just a repackaging of trickle down economics—and it doesn’t help our economy or the vast majority of Americans
Hillary Clinton,2016-08-08 19:45:28,We've got to stand up against climate deniers  There isn't a problem we can't solve if we put our minds to it: https://tco/2KQRq50PP8
Hillary Clinton,2016-08-08 19:35:33,Watch live as Hillary stops in St Petersburg Florida for a campaign rally on the choice we face on the economy: https://tco/09cW39nHXo
Hillary Clinton,2016-08-08 19:12:46,RT @Quora: Answer by @HillaryClinton on her plans for her first 100 days in office if elected https://tco/RQ50LwbmMU https://tco/I8eEK6bk…
Hillary Clinton,2016-08-08 18:45:52,Here's what people with actual "tremendous business success" say about Donald Trump https://tco/0T22CRcy2V
Hillary Clinton,2016-08-08 17:50:47,RT @UAW: @realDonaldTrump has an economic planto cut the pay of hardworking UAW members https://tco/IhIohjOtwq #NeverTrump
Hillary Clinton,2016-08-08 17:17:05,RT @TheDemocrats: Creating jobs — it's what Democrats do In 3 months let's elect another one: https://tco/qvnYQxtH0A https://tco/ywlFN9…
