name,time,tweets
Hillary Clinton,2016-07-12 19:56:48,Taking on systemic racism—and rebuilding trust between police and citizens—will require contributions from us all. https://t.co/dXhKHEvZ2r
Hillary Clinton,2016-07-12 17:13:54,"Hillary Clinton will make an outstanding president and I am proud to stand with her today." —@BernieSanders https://t.co/yNC6ALjJnX
Hillary Clinton,2016-07-12 16:23:49,Together let’s go win this election. https://t.co/lRSwpk9y4b
Hillary Clinton,2016-07-12 16:21:31,"You can take out your phone right now and text JOIN to 47246. Or go to https://t.co/erIfmxlyf9. We accept $27 donations too you know.”
Hillary Clinton,2016-07-12 16:20:19,To everyone who poured your heart and soul into Bernie’s campaign thank you. Our country desperately needs your voices.
Hillary Clinton,2016-07-12 16:19:07,"Let's make it easier to vote not harder. Let’s fight back against attacks on voting rights across the country.” —Hillary
Hillary Clinton,2016-07-12 16:14:48,Let’s expand Social Security—not cut or privatize it. Let’s offer paid family leave. Let’s guarantee equal pay for women once and for all.
Hillary Clinton,2016-07-12 16:11:32,We’re going to make sure that Wall Street corporations and the super-rich pay their fair share of taxes.
Hillary Clinton,2016-07-12 16:09:56,“For families making less than $125000 a year we’ll eliminate tuition at those schools altogether.” https://t.co/TLlb3SCNpH
Hillary Clinton,2016-07-12 16:08:07,$7.25 an hour is a starvation wage. So sorry Donald if you’re watching we’re not cutting the minimum wage we’re raising the minimum wage.
Hillary Clinton,2016-07-12 16:02:58,“Let’s take real meaningful action to end the epidemic of gun violence in America.” —Hillary
Hillary Clinton,2016-07-12 16:01:53,Taking on systemic racism and rebuilding trust and respect between law enforcement and the communities they serve will require all of us.
Hillary Clinton,2016-07-12 15:59:53,Thank you @BernieSanders not just for your endorsement but for a lifetime of fighting injustice.
Hillary Clinton,2016-07-12 15:58:03,"He has energized and inspired a generation of young people who care deeply about our country.” —Hillary on @BernieSanders
Hillary Clinton,2016-07-12 15:53:52,"Hillary Clinton will make an outstanding president and I am proud to stand with her today." —@BernieSanders
Hillary Clinton,2016-07-12 15:52:32,RT @BernieSanders: Our job now is to see our progressive platform implemented by a Democratic Senate a Democratic House and a Hillary Clin…
Hillary Clinton,2016-07-12 15:52:03,"We produced by far the most progressive platform in the history of the Democratic Party." —@BernieSanders
Hillary Clinton,2016-07-12 15:51:27,"We become stronger when black and white Latino Asian American Native American—all of us—stand together.” —@BernieSanders
Hillary Clinton,2016-07-12 15:50:35,"This election must be about bringing our people together not dividing us up." —@BernieSanders
Hillary Clinton,2016-07-12 15:44:04,Hillary "knows that it is absurd that middle-class Americans are paying an effective tax rate higher than hedge fund millionaires.” —Bernie
Hillary Clinton,2016-07-12 15:41:59,"The last thing we need...is a president who doesn’t care about whether millions will lose access to health care coverage." —Bernie on Trump
Hillary Clinton,2016-07-12 15:38:08,"If anyone out there thinks this election is not important...think about the SCOTUS justices Donald Trump will nominate." —@BernieSanders
