name,time,tweets
Donald J. Trump,2016-07-12 17:04:19,To all the Bernie voters who want to stop bad trade deals &amp; global special interests we welcome you with open arms. People first.
Donald J. Trump,2016-07-12 17:03:44,Bernie sanders has abandoned his supporters by endorsing pro-war pro-TPP pro-Wall Street Crooked Hillary Clinton.
Donald J. Trump,2016-07-12 17:01:51,Bernie Sanders endorsing Crooked Hillary Clinton is like Occupy Wall Street endorsing Goldman Sachs.
Donald J. Trump,2016-07-12 16:45:45,#CrookedHillary is not qualified! https://t.co/6qi7KTW43O
Donald J. Trump,2016-07-12 13:39:56,I am somewhat surprised that Bernie Sanders was not true to himself and his supporters. They are not happy that he is selling out!
Donald J. Trump,2016-07-12 13:36:47,Bernie Sanders who has lost most of his leverage has totally sold out to Crooked Hillary Clinton. He will endorse her today - fans angry!
Donald J. Trump,2016-07-12 12:57:18,This election is a choice between law order &amp; safety - or chaos crime &amp; violence. I will make America safe again for everyone. #ImWithYou
Donald J. Trump,2016-07-12 12:55:29,For too many years our inner cities have been left behind. I am going to deliver jobs safety and protection for those in need.
Donald J. Trump,2016-07-12 11:58:58,Crime is out of control and rapidly getting worse. Look what is going on in Chicago and our inner cities. Not good!
Donald J. Trump,2016-07-12 02:12:19,#MakeAmericaGreatAgain #ImWithYou https://t.co/lb5ViCDH0g https://t.co/roVn7pAVfy
Donald J. Trump,2016-07-12 00:56:29,Senior United States District Judge Robert E. Payne today ruled in favor of Trump campaign delegates who had argued..https://t.co/qVwfjgCHU7
Donald J. Trump,2016-07-11 22:18:22,Speech on Veterans' Reform: https://t.co/XB7RMwesMK
Donald J. Trump,2016-07-11 21:40:30,Great poll- Florida! Thank you! https://t.co/4FuPpL5WOM
Donald J. Trump,2016-07-11 19:51:29,Thoughts and prayers with the victims and their families- along with everyone at the Berrien County Courthouse in St. Joseph Michigan.
Donald J. Trump,2016-07-11 11:57:45,Join me in Westfield Indiana- tomorrow night at 7:30pm! #Trump2016  Tickets: https://t.co/Jj9TmSEoOd https://t.co/Rq6YRHlpib
Donald J. Trump,2016-07-10 18:58:10,I heard that the underachieving John King of @CNN on Inside Politics was one hour of lies. Happily few people are watching - dead network!
Donald J. Trump,2016-07-10 18:42:32,The media is so dishonest. If I make a statement they twist it and turn it to make it sound bad or foolish.They think the public is stupid!
Donald J. Trump,2016-07-10 18:27:58,President Obama thinks the nation is not as divided as people think. He is living in a world of the make believe!
Donald J. Trump,2016-07-10 12:02:02,Look what is happening to our country under the WEAK leadership of Obama and people like Crooked Hillary Clinton. We are a divided nation!
