name,time,tweets
Bernie Sanders,2016-07-19 16:41:04,I believe we have a moral obligation to pursue diplomatic solutions before resorting to military intervention.
Bernie Sanders,2016-07-19 15:10:13,Trump suggested limiting immigration according to religion and creating a national database based on religion – absolutely disgraceful.
Bernie Sanders,2016-07-19 14:03:07,To advance the cause of peace the United States has also got to be a friend not only to Israel but to the Palestinian people.
Bernie Sanders,2016-07-19 01:12:05,We have got to say to the fossil-fuel industry that their short-term profits are not more important than the future of this planet.
Bernie Sanders,2016-07-18 23:02:04,At a time of massive inequality the Republicans believe that the richest people in America need to be made even richer.
Bernie Sanders,2016-07-18 20:42:15,I hope the Republicans listen to what the Pope has to say. Denying the science related to climate change is no longer acceptable.
Bernie Sanders,2016-07-18 17:52:17,What we've accomplished so far is historic – but our work is far from over. This political revolution must continue. https://t.co/W6sceUdv4I
Bernie Sanders,2016-07-18 15:54:06,Today in America we not only have an absence level of wealth and income inequality we have a power structure that protects that inequality.
Bernie Sanders,2016-07-18 13:54:22,Lifting the cap on Social Security would increase cost-of-living-adjustments and increase minimum benefits paid to low-income seniors.
Bernie Sanders,2016-07-18 01:27:19,Our younger generation may have a lower standard of living than their parents. This is not what America is about. https://t.co/pEuFOF2Iwo
Bernie Sanders,2016-07-18 00:02:07,I'm asking people across the nation to come together and organize an unprecedented grassroots movement.
Bernie Sanders,2016-07-17 18:47:03,Together we're going to overturn this disastrous Citizens United Supreme Court decision which has allowed millionaires to buy politicians.
Bernie Sanders,2016-07-17 14:29:49,Despite what the media tells you politics is not a soap opera. Politics is about coming together to improve the lives of all.
Bernie Sanders,2016-07-17 00:34:02,We need a grassroots movement to tell the Koch brothers and the billionaire class that they won't be able to continue to buy elections.
Bernie Sanders,2016-07-16 22:21:06,We are building a movement because this country belongs to all of us - not just a handful of billionaires and wealthy campaign contributors.
Bernie Sanders,2016-07-16 20:55:07,No president alone can effectively address the crises facing the working families of this country without a powerful grassroots movement.
Bernie Sanders,2016-07-16 18:25:08,At what point will Congress have the courage to stand up to the greed of the pharmaceutical industry and say enough is enough?
Bernie Sanders,2016-07-16 16:06:01,American pharmaceutical companies couple outrageous prices on drugs with new and inventive ways to avoid paying taxes. It's truly shameless.
Bernie Sanders,2016-07-16 14:46:02,This is not a moment. It's a movement. And you are our movement. Get involved: https://t.co/m6S1VUVosJ
Bernie Sanders,2016-07-15 22:26:29,We must allow Medicare to negotiate drug prices and reduce the barriers to importing prescription drugs from Canada and other countries.
Bernie Sanders,2016-07-15 17:45:41,Real tax reform means Wall Street the wealthy and large corporations pay their fair share. https://t.co/NPIeBgxxdo
Bernie Sanders,2016-07-15 15:59:45,We need to re-enfranchise the more than 5 million Americans who have had their right to vote taken away by a felony conviction.
Bernie Sanders,2016-07-15 14:13:24,RT @USATWashington: .@BernieSanders will launch organizations to spread progressive message https://t.co/9Og1HR0uVa via @ngaudiano https://…
Bernie Sanders,2016-07-15 01:26:02,For the last 40 years the great middle class of our country — once the envy of the world — has been disappearing.
Bernie Sanders,2016-07-14 22:54:02,One in five people can't afford the prescription drugs their doctors prescribe. Elderly people are cutting pills in half for goodness' sake.
Bernie Sanders,2016-07-14 21:17:35,RT @billy_gendell: We won some major victories in the Democratic Platform. Time to take this blueprint and fight to make it a reality. http…
Bernie Sanders,2016-07-14 20:49:13,War must be the last resort not the first response.
Bernie Sanders,2016-07-14 16:50:05,Change cannot take place without political participation.
Bernie Sanders,2016-07-14 15:39:53,RT @KatrinaNation: How Bernie Sanders Delivered the Most Progressive Platform in Democratic Party History via @thenation https://t.co/ycIHu…
Bernie Sanders,2016-07-14 15:06:02,Our movement is about creating an America that ensures nobody working 40 hours a week has to live in poverty.
Bernie Sanders,2016-07-14 13:29:20,In a democratic society politics should not be treated like a baseball game or a soap opera. We need a serious discussion about the issues.
Bernie Sanders,2016-07-14 02:13:40,Shameful. We must require states to collect data on deaths that happen in police custody and make that data public. https://t.co/Ct2hjmGYG6
Bernie Sanders,2016-07-13 23:45:06,Billionaires buying elections is not what our Constitution stands for. https://t.co/P3QQeEpYA4
Bernie Sanders,2016-07-13 21:56:01,We need to end minimum sentencing. Too many people in America are serving unnecessarily long mandatory minimum sentences.
Bernie Sanders,2016-07-13 20:23:04,We must implement universal voter registration so that anyone 18 years of age or older who is eligible to vote is automatically registered.
Bernie Sanders,2016-07-13 20:14:07,The debate is over. Climate change is real it's caused by human activity and is already causing devastating damage to the entire planet.
Bernie Sanders,2016-07-13 18:41:05,In the United States of America we can create the conditions that allow people who are released from prison to stay out.
Bernie Sanders,2016-07-13 17:54:06,RT @LULAC: .@BernieSanders speaks on immigration reform criminal justice reform and pay equity at #LULAC16 convention. https://t.co/4Aluj…
Bernie Sanders,2016-07-13 16:13:55,Pathetic. Billionaire Bully Trump wants to give huge tax breaks to the rich but opposes raising the federal minimum wage of $7.25.
Bernie Sanders,2016-07-13 15:08:01,Republican governors are working overtime to suppress the vote. If Republicans can't face a free election they should get another job.
Bernie Sanders,2016-07-13 13:50:28,Sandra Bland. We will #SayHerName.
Bernie Sanders,2016-07-13 12:02:41,RT @CBSThisMorning: AHEAD ON @CBSThisMorning: @BernieSanders joins us https://t.co/ensEgL0oWF
Bernie Sanders,2016-07-13 01:02:04,The United States should be leading the world in pushing our energy system away from fossil fuel and toward sustainable energy.
Bernie Sanders,2016-07-12 23:43:05,The only long-term solution to America's health care crisis is a single-payer national health care program. https://t.co/ynsKPYzjCG
