name,time,tweets
Donald J. Trump,2016-07-22 14:06:01,One of the best produced including the incredible stage &amp; set in the history of conventions Great unity! Big TV ratings! @KarlRove
Donald J. Trump,2016-07-22 13:13:02,Thank you Cleveland We love you and will be back many times!
Donald J. Trump,2016-07-22 13:07:51,What a great four days in Cleveland So proud of the great job done by the RNC and all The police and Secret Service were fantastic!
Donald J. Trump,2016-07-22 05:11:10,MAKE AMERICA SAFE AND GREAT AGAIN! #RNCinCLE https://tco/KH2ZFHUHGP
Donald J. Trump,2016-07-22 04:01:07,FORMAL ACCEPTANCE OF THE NOMINATION! #TrumpPence16 https://tco/E6ZtVjSQZa
Donald J. Trump,2016-07-22 02:02:18,You can watch 360 video live from the podium! https://tco/yqcIsBUdAi #RNCinCLE #TrumpIsWithYou #MakeAmericaGreatAgain
Donald J. Trump,2016-07-21 19:56:45,This is a MOVEMENT! #RNCinCLE https://tco/bdox6JcrAp
Donald J. Trump,2016-07-21 17:00:24,Thank you @DonaldJTrumpJr Proud of you! #RNCinCLE #TrumpPence2016 https://tco/gobSNWughP
Donald J. Trump,2016-07-21 14:56:49,Great job @IvankaTrump! #RNCinCLE https://tco/swsAKE11F0
Donald J. Trump,2016-07-21 14:49:19,Other than a small group of people who have suffered massive and embarrassing losses the party is VERY united Great love in the arena!
Donald J. Trump,2016-07-21 14:12:45,Ted Cruz talks about the Constitution but doesn't say that if the Dems win the Presidency the new JUSTICES appointed will destroy us all!
Donald J. Trump,2016-07-21 12:37:53,I am soooo proud of my children Don Eric and Tiffany - their speeches under enormous pressure were incredible Ivanka intros me tonight!
Donald J. Trump,2016-07-21 04:32:03,Great job @EricTrump! Proud of you! #AmericaFirst #RNCinCLE https://tco/S7IHXDrmsJ
Donald J. Trump,2016-07-21 04:00:25,MAKE AMERICA GREAT AGAIN! https://tco/qL9rjb7OsD
Donald J. Trump,2016-07-21 03:56:28,Arena was packed totally electric!
Donald J. Trump,2016-07-21 03:53:28,@mike_pence was fantastic tonight Will be a great VP
Donald J. Trump,2016-07-21 03:49:38,Our next Vice President of the United States of America Gov @Mike_Pence! #GOPinCLE #GOPConvention #AmericaFirst https://tco/TZT3XcKp1c
Donald J. Trump,2016-07-21 03:45:48,Wow Ted Cruz got booed off the stage didn't honor the pledge! I saw his speech two hours early but let him speak anyway No big deal!
Donald J. Trump,2016-07-21 02:35:23,Great job @EricTrump! Proud of you!  #AmericaFirst #RNCinCLE https://tco/EE7C6XKDkt https://tco/946U6bgREQ
Donald J. Trump,2016-07-21 01:56:56,Thank you @ScottWalker! #AmericaFirst  #RNCinCLE https://tco/k2Poy3gGvQ
Donald J. Trump,2016-07-21 01:24:26,Thank you to Governor @ScottWalker for such warm support Great speech!
Donald J. Trump,2016-07-21 01:08:33,Thank you @IngrahamAngle! #AmericaFirst https://tco/cv3I3xRSOK
Donald J. Trump,2016-07-21 00:50:21,#AmericaFirst #RNCinCLE  https://tco/PvdTA8HTCC
Donald J. Trump,2016-07-20 23:49:18,Watching the #GOPConvention #AmericaFirst #RNCinCLE
Donald J. Trump,2016-07-20 18:48:11,John Kasich was never asked by me to be VP Just arrived in Cleveland - will be a great two days!
Donald J. Trump,2016-07-20 17:02:19,STATEMENT ON MELANIA SPEECH https://tco/uzBOm21Pug
Donald J. Trump,2016-07-20 15:36:06,The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails
Donald J. Trump,2016-07-20 15:31:15,Good news is Melania's speech got more publicity than any in the history of politics especially if you believe that all press is good press!
Donald J. Trump,2016-07-20 12:51:58,In November I think the people of Ohio will remember that the Republicans picked Cleveland instead of going to another state Jobs!
Donald J. Trump,2016-07-20 12:47:56,Bill Hemmer of @FoxNews was very nice in explaining the excitement and energy in the arena More than in past years
Donald J. Trump,2016-07-20 10:18:17,Congratulations to my children Don and Tiffany on having done a fantastic job last night I am very proud of you!
Donald J. Trump,2016-07-19 23:52:59,Such a great honor to be the Republican Nominee for President of the United States I will work hard and never let you down! AMERICA FIRST!
Donald J. Trump,2016-07-19 22:12:56,The ROLL CALL is beginning at the Republican National Convention Very exciting!
Donald J. Trump,2016-07-19 20:38:20,#MakeAmericaWorkAgain  #TrumpPence16 #RNCinCLE  https://tco/bsUp4MSysD https://tco/mYBjp03XYf
Donald J. Trump,2016-07-19 19:34:40,#MakeAmericaWorkAgain #TrumpPence16 #RNCinCLE  https://tco/xlB2C1cpKp https://tco/5Kv03luMZW
Donald J. Trump,2016-07-19 13:36:43,"@RoxaneTancredi:  Democrats are coming to TRUMP I used to be proud of the dem party No more It is crooked and not for the people"
Donald J. Trump,2016-07-19 04:14:11,It was truly an honor to introduce my wife Melania Her speech and demeanor were absolutely incredible Very proud! #GOPConvention
Donald J. Trump,2016-07-19 00:21:49,Will be on @OreillyFactor tonight at 8:30pm @FoxNews- prior to Melania's speech at the #GOPConvention Tune in- she will do great! #RNCinCLE
Donald J. Trump,2016-07-18 23:04:11,#MakeAmericaSafeAgain! #GOPConvention #RNCinCLE  https://tco/QniZIsGrG8 https://tco/Kvq6r6WkQ1
Donald J. Trump,2016-07-18 20:51:55,Networks other than low ratings @CNN have been very fair and exciting!
Donald J. Trump,2016-07-18 20:48:00,@CNN is the worstThey go to their dumb one-sided panels when a podium speaker is for Trump! VAST MAJORITY want: Make America Great Again!
Donald J. Trump,2016-07-18 17:28:04,Looking forward to being at the convention tonight to watch all of the wonderful speakers including my wife Melania Place looks beautiful!
Donald J. Trump,2016-07-18 17:10:39,Thank you Mahoning County Ohio! See you soon! #MakeAmericaSafeAgain  https://tco/TNJMUKImpK https://tco/iFdqRvaL3q
Donald J. Trump,2016-07-18 10:53:55,RT @foxandfriends: STILL AHEAD: @realDonaldTrump joins us at 7am/et! #RNCinCLE https://tco/TzGbDs88b3
Donald J. Trump,2016-07-17 21:26:50,President Obama just had a news conference but he doesn't have a clue Our country is a divided crime scene and it will only get worse!
Donald J. Trump,2016-07-17 21:22:23,Our country is totally divided and our enemies are watching We are not looking good we are not looking smart we are not looking tough!
Donald J. Trump,2016-07-17 18:41:24,"@60Minutes: DonaldTrump and his running mate @Mike_Pence to appear on #60Minutes in first joint interview CBS https://tco/lZH7qw9qmu"
Donald J. Trump,2016-07-17 18:39:36,I will be on @60Minutes tonight at 7:00 PM with Mike Pence talking about LAW AND ORDER and many other subjects! Bad times for divided USA!
Donald J. Trump,2016-07-17 18:26:51,We are TRYING to fight ISIS and now our own people are killing our police Our country is divided and out of control The world is watching
Donald J. Trump,2016-07-17 17:30:42,We grieve for the officers killed in Baton Rouge today How many law enforcement and people have to https://tco/pPNrzG8kEa
Donald J. Trump,2016-07-17 13:09:02,The ratings at @FoxNews blow away the ratings of @CNN - not even close That's because CNN is the Clinton News Network and people don't like
Donald J. Trump,2016-07-17 13:04:10,@FoxNews is much better and far more truthful than @CNN which is all negative Guests are stacked for Crooked Hillary! I don't watch
Donald J. Trump,2016-07-17 12:24:04,If Goofy Elizabeth Warren a very weak Senator didn't lie about her heritage (being Native American) she would be nothing today Pick her H
Donald J. Trump,2016-07-17 12:14:46,I hope that Crooked Hillary picks Goofy Elizabeth Warren sometimes referred to as Pocahontas as her VP Then we can litigate her fraud!
Donald J. Trump,2016-07-17 12:06:18,It doesn't matter that Crooked Hillary has experience look at all of the bad decisions she has made Bernie said she has bad judgement!
Donald J. Trump,2016-07-17 11:55:21,As the days and weeks go by  we see what a total mess our country (and world) is in - Crooked Hillary Clinton led Obama into bad decisions!
Donald J. Trump,2016-07-17 04:19:05,We are going to have a great time in Cleveland Will lead to special results for our country We will Make America Great Again!
